Id,Name,Shape Library,Page ID,Contained By,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,Network Diagram
2,Router,Cisco Network Icons,1,,,,,,Router
3,File Server,Cisco Network Icons,1,,,,,,Čvor1Izvršavajući
4,Text,Default,1,,,,,,NEtwork diagram
5,Text,Default,1,,,,,,"ostacro    |   June 12, 2018"
6,Standing Man,Cisco Network Icons,1,,,,,,
7,Generic Building,Cisco Network Icons,1,,,,,,FER
8,Memory Card Reader,Tech Clipart,1,,,,,,GLavni Ulaz FER
9,Cloud,Cisco Network Icons,1,,,,,,The Internet
10,File Server,Cisco Network Icons,1,,,,,,Čvor1SlaganjeTX
11,Memory Card Reader,Tech Clipart,1,,,,,,Glavni Ulaz FFZG
12,Router,Cisco Network Icons,1,,,,,,Router
13,File Server,Cisco Network Icons,1,,,,,,Čvor2Izvršavajući
14,Generic Building,Cisco Network Icons,1,,,,,,FFZG
15,File Server,Cisco Network Icons,1,,,,,,Čvor2SlaganjeTX
16,Cloud,Cisco Network Icons,1,,,,,,The Internet
17,Generic Building,Cisco Network Icons,1,,,,,,FSB
18,File Server,Cisco Network Icons,1,,,,,,Čvor3SlaganjeTX
19,File Server,Cisco Network Icons,1,,,,,,Čvor3Izvršavajući
20,Memory Card Reader,Tech Clipart,1,,,,,,Sporedni Ulaz FER
21,Generic Building,Cisco Network Icons,1,,,,,,CARNET
22,class 4_5 switch,Cisco Network Icons,1,,,,,,CA ČVOR
23,Fibre Channel Disk Subsystem,Cisco Network Icons,1,,,,,,CouchDB Trenutno stanje
24,Fibre Channel Disk Subsystem,Cisco Network Icons,1,,,,,,CouchDB Trenutno stanje
25,Line,,1,,,,None,None,
26,Line,,1,,7,8,Arrow,Arrow,
27,Line,,1,,9,8,Arrow,None,
28,Line,,1,,9,7,Arrow,Arrow,
29,Line,,1,,2,10,None,None,
30,Line,,1,,2,3,None,None,
31,Line,,1,,9,2,None,None,
32,Line,,1,,14,,Arrow,Arrow,
33,Line,,1,,16,14,Arrow,Arrow,
34,Line,,1,,12,15,None,None,
35,Line,,1,,12,13,None,None,
36,Line,,1,,,12,None,None,
37,Line,,1,,16,,Arrow,None,
38,Line,,1,,16,,None,None,
39,Line,,1,,,17,None,None,
40,Line,,1,,18,17,None,None,
41,Line,,1,,19,17,None,None,
42,Line,,1,,16,17,None,None,
43,Line,,1,,20,27,None,None,
44,Line,,1,,20,7,None,None,
45,Line,,1,,21,22,None,None,
46,Line,,1,,3,24,None,None,
47,Line,,1,,13,,None,None,
48,Line,,1,,21,17,None,None,
49,Line,,1,,21,,None,None,
50,Line,,1,,7,,None,None,
51,Line,,1,,,50,None,None,
52,Line,,1,,,,None,None,
53,Line,,1,,,9,None,None,
54,Line,,1,,52,,None,None,
55,Line,,1,,,4,None,None,